day,totalSamplesTested,totalPositiveCases,positive_ratio,perday_positive,perday_tests
13032020.0,6500.0,81.0,0.11,7.0,6500.0
18032020.0,13125.0,151.0,1.06,70.0,6625.0
19032020.0,14175.0,173.0,2.1,22.0,1050.0
20032020.0,15404.0,223.0,4.07,50.0,1229.0
21032020.0,16911.0,283.0,3.98,60.0,1507.0
22032020.0,18127.0,360.0,6.33,77.0,1216.0
23032020.0,20707.0,433.0,2.83,73.0,2580.0
24032020.0,22694.0,519.0,4.33,86.0,1987.0
25032020.0,25144.0,606.0,3.55,87.0,2450.0
27032020.0,27688.0,724.0,4.64,118.0,2544.0
30032020.0,38442.0,1251.0,4.9,527.0,10754.0
31032020.0,42788.0,1397.0,3.36,146.0,4346.0
1042020.0,47951.0,1834.0,8.46,437.0,5163.0
2042020.0,55851.0,2069.0,2.97,235.0,7900.0
3042020.0,69245.0,2547.0,3.57,478.0,13394.0
4042020.0,79950.0,3072.0,4.9,525.0,10705.0
5042020.0,89534.0,3577.0,5.27,505.0,9584.0
6042020.0,101068.0,4281.0,6.1,704.0,11534.0
7042020.0,114015.0,4789.0,3.92,508.0,12947.0
8042020.0,127919.0,5274.0,3.49,485.0,13904.0
9042020.0,144910.0,5865.0,3.48,591.0,16991.0
10042020.0,161330.0,6761.0,5.46,896.0,16420.0
11042020.0,179374.0,7529.0,4.26,768.0,18044.0
12042020.0,195748.0,8447.0,5.61,918.0,16374.0
13042020.0,217554.0,9352.0,4.15,905.0,21806.0
14042020.0,244893.0,10815.0,5.35,1463.0,27339.0
15042020.0,274599.0,11933.0,3.76,1118.0,29706.0
16042020.0,302956.0,12759.0,2.91,826.0,28357.0
17042020.0,335123.0,13835.0,3.35,1076.0,32167.0
18042020.0,372123.0,14792.0,2.59,957.0,37000.0
19042020.0,401586.0,16116.0,4.49,1324.0,29463.0
20042020.0,437438.0,17656.0,4.3,1540.0,35852.0
21042020.0,462621.0,18985.0,5.28,1329.0,25183.0
22042020.0,500542.0,20471.0,3.92,1486.0,37921.0
23042020.0,541789.0,21700.0,2.98,1229.0,41247.0
24042020.0,579957.0,23452.0,4.59,1752.0,38168.0
25042020.0,684936.0,24893.0,1.37,1441.0,104979.0
26042020.0,732359.0,26605.0,3.61,1712.0,47423.0
27042020.0,789963.0,28160.0,2.7,1555.0,57604.0
28042020.0,851813.0,29834.0,2.71,1674.0,61850.0
29042020.0,915735.0,31709.0,2.93,1875.0,63922.0
1052020.0,985836.0,34972.0,4.65,3263.0,70101.0
2052020.0,1091268.0,37157.0,2.07,2185.0,105432.0
3052020.0,1178077.0,40124.0,3.42,2967.0,86809.0
4052020.0,1248249.0,42836.0,3.86,2712.0,70172.0
5052020.0,1341075.0,46711.0,4.17,3875.0,92826.0
6052020.0,1394548.0,49391.0,5.01,2680.0,53473.0
7052020.0,1451633.0,52952.0,6.24,3561.0,57085.0
8052020.0,1523213.0,56342.0,4.74,3390.0,71580.0
9052020.0,1609035.0,59662.0,3.87,3320.0,85822.0
